phenomenonTime,result
2019-11-11T16:30:56.104Z,10.44
2019-11-11T16:28:49.816Z,19.8
2019-11-11T16:27:46.799Z,28.44
2019-11-11T16:25:44.288Z,0
2019-11-11T16:24:36.702Z,11.16
2019-11-11T16:23:38.241Z,0
2019-11-11T16:22:32.386Z,3.24
2019-11-11T16:20:25.790Z,0
2019-11-11T16:19:22.804Z,0
2019-11-11T16:18:19.514Z,5.4
2019-11-11T16:17:16.364Z,14.04
2019-11-11T16:15:19.776Z,17.64
2019-11-11T16:14:13.865Z,0
2019-11-11T16:13:07.781Z,3.96
2019-11-11T16:12:02.963Z,5.4
2019-11-11T16:10:59.536Z,3.96
2019-11-11T16:09:55.178Z,16.92
2019-11-11T16:07:49.116Z,35.28
2019-11-11T16:06:46.529Z,29.16
2019-11-11T16:04:39.884Z,16.92
2019-11-11T16:03:42.341Z,7.56
2019-11-11T16:01:34.975Z,27
2019-11-11T15:58:20.910Z,24.12
2019-11-11T15:25:15.295Z,14.04
2019-11-11T15:23:47.119Z,19.8
2019-11-11T13:33:51.951Z,0
2019-11-11T13:23:52.607Z,24.12
2019-11-11T13:22:50.227Z,27
2019-11-11T13:21:46.580Z,23.04
2019-11-11T13:19:46.834Z,18.36
2019-11-11T13:18:37.900Z,16.92
2019-11-11T13:16:34.344Z,33.48
2019-11-11T13:15:31.677Z,18.36
2019-11-11T13:14:28.075Z,15.48
2019-11-11T13:13:23.189Z,23.04
2019-11-11T13:12:19.950Z,20.52
2019-11-11T13:10:13.365Z,17.64
2019-11-11T13:08:09.737Z,11.88
2019-11-11T13:07:36.060Z,14.76
2019-11-11T13:06:02.108Z,16.92
2019-11-11T13:04:58.476Z,19.8
2019-11-11T13:03:54.395Z,0
2019-11-11T13:01:48.407Z,19.08
2019-11-11T13:00:45.368Z,15.48
2019-11-11T12:59:47.651Z,2.52
2019-11-11T12:58:37.002Z,26.28
2019-11-11T12:57:36.470Z,0
2019-11-11T12:56:32.759Z,27
2019-11-11T12:55:29.482Z,11.16
2019-11-11T12:51:18.371Z,0
2019-11-11T12:50:13.591Z,9
2019-11-11T12:48:12.909Z,9
2019-11-11T12:47:07.974Z,12.6
2019-11-11T12:46:03.323Z,25.56
2019-11-11T12:44:59.460Z,36
2019-11-11T12:43:55.966Z,66.96
2019-11-11T12:42:51.997Z,26.28
2019-11-11T12:41:49.096Z,36
2019-11-11T12:40:48.372Z,20.52
2019-11-11T12:38:43.084Z,21.96
2019-11-11T12:37:41.802Z,39.6
2019-11-11T12:35:32.566Z,11.88
2019-11-11T12:34:30.384Z,14.76
2019-11-11T12:33:26.244Z,12.6
2019-11-11T12:32:21.242Z,25.56
2019-11-11T12:31:18.283Z,14.76
2019-11-11T12:29:12.634Z,24.12
2019-11-11T12:28:13.032Z,25.56
2019-11-11T12:27:08.124Z,30.6
2019-11-11T12:25:01.197Z,42.48
2019-11-11T12:24:00.408Z,3.96
2019-11-11T12:20:48.716Z,14.04
2019-11-11T12:17:41.760Z,27
2019-11-11T12:16:36.043Z,22.32
2019-11-11T12:15:33.997Z,11.16
2019-11-11T12:14:33.231Z,19.08
2019-11-11T12:13:29.248Z,18.36
2019-11-11T12:12:23.825Z,13.32
2019-11-11T12:10:17.043Z,12.6
2019-11-11T12:09:13.870Z,55.08
2019-11-11T12:06:07.158Z,3.24
2019-11-11T12:05:03.922Z,21.24
2019-11-11T12:03:58.555Z,4.68
2019-11-11T12:02:57.076Z,24.12
2019-11-11T12:01:51.383Z,0
2019-11-11T12:00:48.439Z,23.76
2019-11-11T11:59:45.956Z,14.76
2019-11-11T11:57:44.472Z,19.8
2019-11-11T11:56:37.803Z,16.2
2019-11-11T11:55:37.685Z,6.12
2019-11-11T11:54:31.318Z,0
2019-11-11T11:53:29.926Z,4.68
2019-11-11T11:52:26.126Z,9.36
2019-11-11T11:51:21.742Z,12.6
2019-11-11T11:50:18.250Z,0
2019-11-11T11:49:16.179Z,23.04
2019-11-11T11:46:07.579Z,16.2
2019-11-11T11:45:07.011Z,14.04
2019-11-11T11:44:05.790Z,25.56
2019-11-11T11:42:57.598Z,0
2019-11-11T11:41:53.450Z,0
2019-11-11T11:40:51.727Z,17.64
2019-11-11T11:39:47.644Z,11.16
2019-11-11T11:38:45.153Z,20.52
2019-11-11T11:36:39.242Z,16.2
2019-11-11T11:35:39.716Z,12.6
2019-11-11T11:34:39.151Z,0
2019-11-11T11:33:33.072Z,2.52
2019-11-11T11:32:29.216Z,0
2019-11-11T11:31:24.400Z,6.84
2019-11-11T11:30:21.161Z,0
2019-11-11T11:02:29.503Z,3.96
2019-11-11T11:01:25.296Z,19.08
2019-11-11T11:00:21.624Z,26.28
2019-11-11T10:59:18.735Z,17.64
2019-11-11T10:58:15.677Z,0
2019-11-11T10:57:13.200Z,16.92
2019-11-11T10:56:11.823Z,14.76
2019-11-11T10:55:07.026Z,12.6
2019-11-11T10:54:04.132Z,8.28
2019-11-11T10:53:00.473Z,3.24
2019-11-11T10:51:25.393Z,0
2019-11-11T10:49:19.654Z,24.12
2019-11-11T10:47:13.599Z,14.76
2019-11-11T10:46:10.463Z,2.52
2019-11-11T10:44:06.968Z,18.36
2019-11-11T10:43:02.261Z,24.84
2019-11-11T10:40:55.930Z,6.12
2019-11-11T10:39:51.593Z,30.6
2019-11-11T10:38:48.472Z,18.36
2019-11-11T10:37:45.681Z,38.16
2019-11-11T10:36:44.153Z,30.6
2019-11-11T10:35:42.224Z,31.32
2019-11-11T10:34:37.009Z,13.32
2019-11-11T10:33:33.833Z,35.28
2019-11-11T10:32:32.459Z,6.84
2019-11-11T10:31:28.242Z,12.6
2019-11-11T10:29:21.803Z,28.44
2019-11-11T10:27:15.509Z,14.04
2019-11-11T10:26:12.642Z,18.36
2019-11-11T10:24:38.202Z,16.92
2019-11-11T10:23:35.082Z,2.52
2019-11-11T10:22:32.709Z,20.52
2019-11-11T10:21:29.508Z,3.96
2019-11-11T10:19:23.411Z,24.12
2019-11-11T09:59:57.548Z,21.24
2019-11-11T09:58:54.255Z,3.96
2019-11-11T09:57:50.972Z,21.96
2019-11-11T09:56:47.989Z,3.96
2019-11-11T09:55:48.908Z,0
2019-11-11T09:53:40.131Z,0
2019-11-11T09:52:37.125Z,4.68
2019-11-11T09:51:35.401Z,23.04
2019-11-11T09:50:30.202Z,6.84
2019-11-11T09:49:27.338Z,19.8
2019-11-11T09:48:24.374Z,24.84
2019-11-11T09:47:20.752Z,24.84
2019-11-11T09:46:17.418Z,24.12
2019-11-11T09:45:16.989Z,14.04
2019-11-11T09:43:11.272Z,11.16
2019-11-11T09:42:09.525Z,13.32
2019-11-11T09:41:07.207Z,4.68
2019-11-11T09:37:52.704Z,4.68
2019-11-11T09:36:49.496Z,26.28
2019-11-11T09:33:44.811Z,14.04
2019-11-11T09:32:36.844Z,0
2019-11-11T09:27:53.070Z,15.48
2019-11-11T09:26:50.395Z,35.28
2019-11-11T09:24:44.029Z,13.32
2019-11-11T09:23:42.918Z,21.96
2019-11-11T09:22:38.949Z,2.52
2019-11-11T09:21:37.389Z,18.36
2019-11-11T09:20:32.412Z,0
2019-11-11T09:19:29.181Z,4.68
2019-11-11T09:18:25.792Z,16.2
2019-11-11T09:17:23.688Z,18.36
2019-11-11T09:16:19.612Z,29.16
2019-11-11T05:56:11.633Z,11.88
2019-11-11T04:01:18.398Z,13.32
2019-11-11T03:58:22.928Z,17.64
2019-11-11T03:55:45.218Z,8.28
2019-11-11T03:53:57.801Z,15.48
2019-11-11T03:53:07.648Z,9.72
2019-11-11T03:52:22.502Z,14.76
2019-11-11T03:51:33.266Z,13.32
2019-11-11T03:50:48.896Z,11.88
2019-11-11T03:49:58.795Z,14.76
2019-11-11T03:49:13.525Z,12.6
2019-11-11T03:48:23.853Z,11.16
2019-11-11T03:45:52.015Z,11.16
2019-11-11T03:45:02.285Z,15.48
2019-11-11T03:41:34.442Z,12.6
2019-11-11T03:40:49.113Z,24.12
2019-11-11T03:40:00.358Z,14.76
2019-11-11T03:39:13.713Z,9
2019-11-11T03:35:02.932Z,12.6
2019-11-11T03:33:12.877Z,9.72
2019-11-11T03:31:21.011Z,14.76
2019-11-11T03:29:29.967Z,9
2019-11-11T03:28:42.976Z,18.36
2019-11-11T03:26:07.812Z,8.28
2019-11-11T03:25:17.106Z,12.6
2019-11-11T03:22:10.433Z,12.6
2019-11-11T03:21:08.428Z,16.92
2019-11-11T03:19:30.358Z,11.16
2019-11-11T03:16:52.584Z,11.16
2019-11-11T03:16:07.952Z,16.2
2019-11-11T03:14:16.447Z,11.88
